"key","es","en"
"Food_Beet_Description","Se come hervida, asada o cruda, sola o combinada con cualquier verdura de ensalada.","Eaten boiled, roasted, or raw, and either alone or combined with any salad vegetable."
"Food_Cereal","Cereal","Cereal"
"Food_Cereal_Description","Una buena opción para un desayuno rápido. ¡No te entretengas o las hojuelas se empaparán!","A fine choice for a quick breakfast. Don't dally or the flakes will get soggy!"
"Food_Bread","Pan blanco","White bread"
"Food_Bread_Description","No es tan saludable como el marrón, pero es tan esponjoso y ligero que puedes perdonarlo.","It's not as healthy as brown bread but is so fluffy and light you can be forgiven."
"Food_Broccoli","Brócoli","Broccoli"
"Food_Broccoli_Description","¡Es como un arbolito! Un arbolito saludable que sabe muy bien al vapor.","It's like a little tree! A healthy little tree that tastes great steamed."
"Food_Cabbage","Repollo","Cabbage"
"Food_Cabbage_Description","Se puede encurtir, fermentar o comer crudo.","Can be pickled, fermented or eaten raw."
"Food_Cake","Pastel","Cake"
"Food_Cake_Description","¡Feliz cumpleaños! Las velas son gratis, así que llévate todas las que necesites.","Happy birthday! The candles are free so take as many as you need."
"Food_Cauliflower","Coliflor","Cauliflower"
"Food_Cauliflower_Description","Al cocinarla, se quitan las hojas exteriores y los tallos gruesos, dejando solo la cabeza comestible.","When cooking, the outer leaves and thick stalks are removed, leaving only the edible head."
"Food_Celery","Apio","Celery"
"Food_Celery_Description","Lo ames o lo odies, es bueno crudo como bocadillo o cocido en guisos.","Love it or hate it, it's good raw as a snack or cooked in stews."
"Food_Cheese","Queso","Cheese"
"Food_Cheese_Description","Todo natural con un sutil sabor y olor. ¡Sonríe y di queso!","All natural with a subtle taste and smell. Smile and say cheese!"
"Food_Chinese","Comida china","Chinese food"
"Food_Chinese_Description","Fideos calientes chinos.","Chinese hot noodles."
"Food_Corn","Maíz","Corn on the cob"
"Food_Corn_Description","Al vapor a la perfección y sofocado en mantequilla, también bueno en las barbacoas.","Steamed to perfection and smothered in butter, also good from the BBQ."
"Food_Egg","Huevo frito","Fried egg"
"Food_Egg_Description","La clara se cocina sólida, pero la yema sigue siendo agradable y líquida.","The whites are cooked solid, but the yolk is still nice and runny. Dive in!"
"Food_Eggplant","Berenjena","Eggplant"
"Food_Eggplant_Description","Deliciosa berenjena asada a la perfección. ¡Es saludable, sabrosa y saciante!","Delicious eggplant grilled to perfection. It's healthy, flavorful, AND filling!"
"Food_Fish","Pescado asado","Roasted fish"
"Food_Fish_Description","¡Cuidado con las espinas!","Watch out for the bones!"
"Food_Fries","Papas fritas","French fries"
"Food_Fries_Description","Estas papas fritas calientes y crujientes harán que te olvides de tu hamburguesa.","These hot and crispy fries will make you forget all about your burger."
"Food_Hotdog","Perrito caliente","Hot Dog"
"Food_Hotdog_Description","No está hecho de perros, pero ESTÁ caliente. Espero que te guste la mostaza. Si no... ups.","It's not made of dogs, but it IS hot. Hope you like mustard. If not...oops."
"Food_Sausage","Chorizo","Sausage"
"Food_Sausage_Description","Salchicha real directamente del carnicero. La carcasa está hecha de... uh, amor.","Real sausage straight from the butcher. The casing is made of...uh, love."
"Food_Mushroom","Hongo","Mushroom"
"Food_Mushroom_Description","El hongo más sabroso de todos. ¡Quizás te haga crecer más!","The most flavorful fungus of all. Maybe it will make you grow bigger!"
"Food_Mussel","Mejillón","Mussels"
"Food_Mussel_Description","Clásico francés al vapor con vino, mantequilla y ajo.","French classic steamed with wine, butter, and garlic."
"Food_Riceball","Onigiri","Riceball"
"Food_Riceball_Description","¡No lo confundas con una dona!","Don't mistake it with a donut!"
"Food_Salad","Ensalada","Salad"
"Food_Salad_Description","Mamá siempre decía que comieras tus verduras, pero la elección de los aderezos es tuya.","Mother always said to eat your greens, but the choice of dressing is yours."
"Food_Sandwich","Emparedado","Sandwich"
"Food_Sandwich_Description","La marca de un emparedado exitoso es no poder sostenerlo con una mano.","The mark of a successful sandwich is not being able to hold it with one hand."
"Food_Sushi","Sushi","Sushi"
Food_Sushi_Description","Preparado por un maestro de sushi. Uno nunca es suficiente. tampoco son veinte.","Prepared by a sushi master. One is never enough. Neither is twenty."
"Food_Taco","Taco","Taco"
"Food_Taco_Description","Conchas crujientes rellenas con relleno picante y guacamole fresco.","Crispy shells stuffed with spicy fillings and fresh guacamole. Fiesta time!"
"Food_Apple","Manzana","Apple"
"Food_Apple_Description","Excelente para el jugo de manzana y muy saludable tambien.","Keeps the doctor away, great for apple juice and so healthy too!"
"Food_Banana","Plátano","Banana"
Food_Banana_Description","El postre de la naturaleza. Cuidado donde pones esa cáscara, es peligrosa.","Nature's dessert. Watch out where you put that peel-it's dangerous."
"Food_Chocolate","Chocolate","Chocolate"
"Food_Chocolate_Description","No hace falta que sea San Valentín para comer chocolate. ¡Todos los días están bien!","It doesn't have to be Valentine's Day to eat chocolate. Every day is fine!"
"Food_Coconut","Coco","Coconut"
"Food_Coconut_Description","Así es como sabe el paraíso tropical.","It's not cocoa, and it's not a nut. This is what tropical paradise tastes like."
"Food_Cookie","Galleta","Cookie"
"Food_Cookie_Description","Al horno hasta que esté dorada. O tal vez esa es la mantequilla.","Baked until golden. Or perhaps that's the butter. So, so much butter in there."
"Food_Croissant","Cuerno","Croissant"
"Food_Croissant_Description","El desayuno de los campeones franceses. Hecho de una dulzura suave como el pan.","The breakfast of French champions. Made of soft, bready loveliness."
"Food_Cupcake","Magdalena","Cupcake"
"Food_Cupcake_Description","¿Cómo puedes decir que esta magdalena no es elegante? ¡Mira esa cereza!","How could you say this cupcake isn't fancy. Look at that cherry!"
"Food_Donut","Dona","Donut"
"Food_Donut_Description","Estas son hechas a mano todos los días. No son demasiado dulces ya que una nunca es suficiente.","These are handmade everyday. Not oversweet as one's never enough."
"Food_Grapes","Uvas","Grapes"
"Food_Grapes_Description","Uvas frescas y fragantes, brillantes como joyas. Quizás alguien te las dé de comer.","Fresh, fragrant grapes, bright as jewels. Maybe someone will feed them to you."
"Food_Honey","Miel","Honey"
"Food_Honey_Description","¡Favorecido por osos y humanos por lo menos durante los últimos 8000 años!","Favoured by bears and humans alike for at least the last 8,000 years!"
"Food_Ice_Cream","Helado","Ice-cream cone"
"Food_Ice_Cream_Description","Nuestro sabor más vendido es el de fresa. Una cucharada nunca es suficiente.","Our bestselling flavour is strawberry. One scoop is never enough."
"Food_Lollypop","Piruleta","Lollypop"
"Food_Lollypop_Description","Esta piruleta es tan grande que podrías esconderte detrás de ella. ¿Puedes comerla todo?","This lollipop is so big you could hide behind it. Can you eat it all?"
"Food_Orange","Naranja","Orange"
"Food_Orange_Description","Esta fruta dulce tiene una tonelada de vitamina C.","This sweet fruit has a ton of vitamin C. Orange you glad it's not a grapefruit?"
"Food_PeanutButter","Mantequilla de maní","Peanut butter"
"Food_PeanutButter_Description","Combina bien con otros sabores, como avena, queso, embutidos, salsas saladas y varios tipos de panes y galletas saladas.","Combines well with other flavors, such as oatmeal, cheese, cured meats, savory sauces, and various types of breads and crackers."
"Food_Pear","Pera","Pear"
"Food_Pear_Description","Crujiente pero dulce y con una forma con la que las manzanas solo pueden soñar.","Crunchy but sweet and with a shape that apples can only dream of."
"Food_Pineapple","Piña","Pineapple"
"Food_Pineapple_Description","Rompe la barrera puntiaguda de esta fruta tropical para disfrutar de una dulce recompensa.","Break into this tropical fruit's spiky barrier for a sweet tart treat."
"Food_Pudding","Pudín","Pudding"
"Food_Pudding_Description","Se llaman budines de ciruelas pero nunca tienen ciruelas. Mejor servido caliente.","Called plum puddings but never have plums. Best served on fire!"
"Food_Strawberry","Fresa","Strawberry"
"Food_Strawberry_Description","Elígelas tu mismo para obtener el sabor más dulce.","Pick them yourself for the sweetest flavour. Drown in cream to be naughty."
"Food_Cocktail","Cóctel","Cocktail"
"Food_CupTea","Té","Tea"
"Food_CupTea_Description","Relájate mientras se infunde durante unos minutos, luego agrega limón o miel. ¡Hermoso!","Relax while it infuses for a few minutes, then add lemon or honey. Lovely!"
"Food_Lemonade","Limonada","Lemonade"
"Food_Lemonade_Description","Mejor recién exprimido con una rodaja de limón durante los días calurosos y soleados.","Best freshly squeezed with a slice of lemon during hot sunny days."
"Food_Milk","Leche","Milk"
"Food_Milk_Description","Tan espesa que es básicamente crema. ¡La leche desnatada no se puede comparar con el sabor!","So thick it is basically cream. Skimmed milk just can't compare to the taste!"
"Food_Soda","Gaseosa","Soda"
"Food_Soda_Description","Las burbujas hacen cosquillas en la nariz, pero sabe muy bien en un día caluroso.","The bubbles tickle your nose, but it tastes so great on a hot day."
"Food_Wine","Vino","Wine"
"Food_Wine_Description","Exprimimos cada gota aquí mismo a mano. Por eso sabe tan bien.","We squeeze every drop right here by hand. That's why it tastes so good."
"Food_Cocktail_Description","Una bebida afrutada llena de sabor.","A fruity drink full of taste. Gotta love that big slice of lemon."
"Shop_Buy","Comprar","Buy"
"Loading_Text","Cargando...","Loading..."
"Room_Give","Dar","Give"
"Furniture_Bed","Cama","Bed"
"Furniture_Bed_Description","Limpia y esponjosa para asegurar las mayores aventuras en el mundo de los sueños.","Clean and fluffy to ensure the greatest adventures in the dream world."
"Furniture_Box","Caja","Cardboard box"
"Furniture_Box_Description","Está vacía y solía contener algo mejor, pero es mejor no saberlo.","It is empty and used to contain something better but it is better not to know that."
"Furniture_Chair","Silla","Chair"
"Furniture_Chair_Description","Fabricada por los carpinteros más dedicados para la comodidad de tus glúteos.","Made by the most dedicated carpenters for the comfort of your buttocks."
"Furniture_CoatRack","Perchero","Coat rack"
"Furniture_CoatRack_Description","Para el momento de vestirse para la noche.","For the time to dress up for the night."
"Furniture_Dryer","Secadora","Dryer"
Furniture_Dryer_Description","Con una variedad de ajustes que van desde lo suficientemente caliente para manejar mantas de lana empapadas hasta lo suficientemente ligero para acariciar los delicados hilos de la ropa interior.","With an array of settings ranging from hot enough to handle soggy wool blankets to light enough to caress the delicate threads of underwear."
"Furniture_KitchenCabinet","Gabinete","Cabinet"
"Furniture_KitchenCabinet_Description","¡Nuestro estilo del viejo mundo se remonta a una época en la que las bagatelas, las chucherías y las curiosidades se vendían por meras bagatelas!","Our old-world style harkens back to a time when bagatelles, baubles and curios were sold for mere trifles!"
"Furniture_Fridge","Refrigerador","Fridge"
"Furniture_Fridge_Description","Mantén la comida fresca, prácticamente para siempre. Repleto de rincones y grietas para almacenar tus bebidas, tus verduras se estremecerán de este electrodoméstico a tu plato para que la comida sepa mejor que nunca.","Keep food fresh - practically forever. Packed with nooks and crannies to store your potables, your vegetables will shiver from this appliance to your plate to make food taste better than ever."
"Furniture_Sink","Lavabo","Sink"
"Furniture_Sink_Description","Incluye un grifo propenso a la oxidación, así que espera un poco más de óxido en el agua durante la temporada de frío.","Includes a rust-prone faucet, so expect a little extra oxide in your water during cold the cold season."
"Furniture_Stove","Estufa","Stove"
"Furniture_Stove_Description","La mayoría de las estufas usan diales analógicos para los ajustes de calor. ¿Quién necesita infinitas opciones? Nuestros ajustes bajo-bajo y alto-alto son perfectos para la mayoría de las aplicaciones cotidianas.","Most stoves use analogue dials for heat settings. Who needs infinite options?! Our low-low and high-high settings are perfect for most everyday applications."
"Furniture_Lamp","Lámpara","Lamp"
"Furniture_Lamp_Description","No ESE tipo de lámpara, por lo que no incluye un genio dentro.","Not THAT kind of lamp so it doesn't include a genie inside."
"Furniture_Sofa","Sofá","Sofa"
Furniture_Sofa_Description","Con su marco rígido y tosco, promueve el uso de buenos modales y una postura para sacar el lado adecuado dentro.","With its rigid and coarse frame, it promotes the use of good manners and a posture to bring out the suitable side within."
"Furniture_Plant","Planta en maceta","Potted plant"
"Furniture_Plant_Description","Nuestros tazones para macetas de arcilla ponen la belleza y la durabilidad de la arcilla en tus manos. Los diseños fantasiosos alrededor del cuenco hacen que sea un placer mirarlos incluso antes de que florezca tu pequeño jardín. Y la arcilla nunca se romperá.","Our clay planter bowls put the beauty and durability of clay right in your hands. Fanciful designs around the bowl make these a pleasure to look at even before your tiny garden blooms! And the clay will never break."
"Furniture_Shower","Ducha","Shower"
"Furniture_Shower_Description","Elimina la suciedad diaria con este modelo básico de ducha. Su diseño utilitario es eficiente, limpio y cómicamente vulnerable a las fluctuaciones drásticas de la temperatura del agua provocadas por la descarga del inodoro cercano.","Wash away the daily grime with this basic shower model. Its utilitarian design is efficient, clean, and comically vulnerable to drastic fluctuations of water temperature brought on by nearby toilet flushing."
"Furniture_Speaker","Altavoz","Speaker"
"Furniture_Speaker_Description","¿Cómo llega el sonido a este increíble altavoz? ¡Magia, así es como!","How does sound reach this amazing speaker? Magic, that's how!"
"Furniture_Stool","Taburete","Stool"
Furniture_Stool_Description","Como dice el refrán: 'No se puede tener uno sin el otro'. Agrega este moderno taburete para completar tu hogar.","As the saying goes: 'You can't have one without the other'. Add this trendy stool to complete your home."
"Furniture_Toilet","Inodoro","Toilet"
"Furniture_Toilet_Description","Los olores han perseguido a los inodoros desde su invención. ¡Pero una combinación de ventiladores de turbina, filtros de carbón y productos químicos poderosos finalmente exorcizó a estos demonios odoríferos para siempre!","Smells have haunted toilets since their invention. But a combination of turbine fans, charcoal filters, and powerful chemicals have finally exorcised these odoriferous demons for good!"
"Furniture_Trashcan","Basurero","Trashcan"
"Furniture_Trashcan_Description","No te preocupes más por la basura, está en un buen lugar. Este basurero se preocupa por cada pedazo de basura por igual y sin distinción. Finalmente, la basura puede decir 'Estoy en casa'.","Refuse never had it so good! Worry no more about the garbage - it's in a good place. This trashcan cares about every piece of trash equally and without distinction. Finally, garbage can say 'I'm Home'."
"Furniture_Washer","Lavadora","Washer"
"Furniture_Washer_Description","Manda a tu ropa limpia con esta lavadora. La tina extra grande puede contener hasta 34 toallas, o más si realmente las empujas. Adelante, inténtalo. Contratos de servicio opcionales disponibles por una tarifa anual baja.","Command your clothes clean with this washing machine. The extra large tub can hold up to 34 towels, or more if you really shove them in. Go ahead and try. Optional service contracts available for a low annual fee."
"Furniture_WasherDryer","Lavadora y secadora apiladas","Stacked washer and dryer"
"Furniture_WasherDryer_Description","Para los que viven en la ciudad, beben café con leche, comen tostadas de aguacate y son conscientes del medio ambiente, viene esta unidad combinada de lavadora y secadora apiladas particularmente útil. Claro, puedes comprar cada máquina individualmente y apilarlas tú mismo, pero ¿quién tiene tiempo cuando tienes un planeta que salvar?","For the city living, latte sipping, avocado toast munching, environmentally conscious comes this particularly helpful stacked washer and dryer combo unit. Sure, you could purchase each machine individually and stack them yourself, but who has the time when you've got a planet to save."
"City_ApartmentBuilding","Edificio de apartamentos","Apartments"
City_ApartmentBuilding_Description","Tus Dobles viven en estos apartamentos.","Your Doubles live in these apartments."
"City_TownHall","Ayuntamiento","Town Hall"
"City_TownHall_Description","Crea nuevos Dobles, verifica información... ¡Hay tantas cosas que hacer aquí!","Create new Doubles, verify information... There are so many things to do here!"
"City_Supermarket","Supermercado","Supermarket"
"City_Supermarket_Description","El mejor, y el único, sitio de aprovisionamiento de alimentos de tu ciudad.","Your city's one-stop food shop!"
"Button_Close","Volver","Go Back"
"City_FurnitureStore","Tienda de Muebles","Furniture Store"
"City_FurnitureStore_Description","Esta es la tienda más trabajadora de la ciudad. Esta tienda es reconocida en talleres clandestinos y boutiques de todo el mundo.","This is the hardest working store in town! This store is recognized in sweatshops and boutiques the world over."
"settings_newDouble","Nuevo Doble","New Double"
"settings_listDouble","Lista de Dobles","Double List"
"settings_cityName","Nombre de la ciudad","City Name"
"settings_sound","Ajustes","Settings"
"settings_deleteData","Borrar datos de guardado","Delete save data"
"settings_collection","Colección","Collection"
"treasure_medicine","Medicina","Medicine"
treasure_medicine_description","No dejes que un resfriado te deprima. Esto se hará cargo de los peores síntomas.","Don't let a cold get you down. This will take care of the worst symptoms."
"treasure_musicBox","Caja musical","Music box"
treasure_musicBox_Description","La melodía está garantizada para relajarte y también es un buen adorno.","The melody is guaranteed to relax and it makes a good ornament, too."
"city_pawnShop","Casa de empeño","Pawn shop"
city_pawnShop_Description","Una tienda donde puedes vender tus activos no deseados. También podrías vender tus chatarras.","A store where you can sell your unwanted assets. You might as well sell your junks."
"Shop_Sell","Vender","Sell"
"Button_Save","Guardar","Save"
"City_Park","Parque","Park"
"City_Park_Description","¡El dinero que el Ayuntamiento invirtió en este parque estuvo bien gastado! Columpios, toboganes y un invernadero, ¡vaya!","The money Town Hall put into this park was well spent! Swing sets, slides and a greenhouse, oh my!"
"Greenhouse_Title","Invernadero","Greenhouse"
Greenhouse_Description","Una plaga de orugas ha invadido el invernadero. Hora de ponerse las botas y un overol y salvar a las flores antes de que sea tarde.","A plague of caterpillars has invaded the greenhouse. Time to put on your boots and overalls and save the flowers before it's too late."
"Greenhouse_controls_movement","Moverse","Move"
"Greenhouse_controls_shoot","Disparar gas","Shoot gas"
"Button_Play","Jugar","Play"
"Change_City_Name_Desc","Ponle un nuevo nombre a tu Ciudad","Give a new name to your City!"
"Button_Change","Cambiar","Change"
"treasure_puzzle","Rompecabezas de diapositivas","Slide Puzzle"
"treasure_puzzle_description","Es más dificil de lo que parece.","It's harder than it looks."
"treasure_puzzle_win","Eres un maestro de los rompecabezas. Bien hecho.","You're a puzzle master! Well done!"
"Button_Edit","Editar","Edit"
"Button_Delete","Borrar","Delete"
"settings_volume","Volumen","Volume"
"settings_resolutions","Resoluciones","Resolutions"
"settings_fullscreen","Pantalla completa","Fullscreen"
"Delete_Warning2","Perderás todos los Dobles, tesoros y otros objetos. Una vez eliminado, saldrás del juego. ¿Quieres continuar?","You will lose all Doubles, treasure and other items. Once deleted you will exit the game. Is this OK?"
"Button_No","No","No"
"Button_Yes","Si","Yes"
"settings_language","Idioma","Language"
"Save_Warning","Todos los datos serán sobrescritos. ¿Quieres continuar?","All data will be overwritten. Do you wish to continue?"
"Save_Success","La partida ha sido guardada exitosamente.","The game has been saved successfully."
"Save_Continue","¿Quieres seguir jugando?","Do you want to keep playing?"
"ChangeLanguage_Warning","El juego se cerrará para cambiar el idioma y la partida se guardará automáticamente. ¿Quieres continuar?","The game will restart to change the language and the game will save automatically. Do you want to continue?"
"DeleteDouble_Prompt","¿Estás seguro? Esta acción no se puede revertir.","Are you sure? This action cannot be reversed."
"City_TV","Torre de Televisión","News Tower"
"City_TV_Description","Tu fuente de información de la ciudad con informes al mediodía y por la noche.","Your source for the latest city news with reports at noon and night."
"News_TownHall","¡Se ha inaugurado el Ayuntamiento!","Town Hall Now Open!"
"News_TownHall_Description","¡El Ayuntamiento ya está abierto en la ciudad!","Town Hall is now open on the city!"
"News_Furniture","¡Se ha inaugurado la Tienda de Muebles!","Furniture Store Now Open! "
"News_Furniture_Description","¡La nueva Tienda de Muebles ha tenido su gran inauguración, respondiendo a los deseos de muchos ciudadanos!","The new furniture shop has had its grand opening, answering the wishes of many citizens!"
"News_Park","¡Se ha inaugurado el Parque!","Park Now Open!"
"News_Park_Description","Se tardó cinco años en construirlo, pero el Parque ya está abierto.","It took five years to build, but the Park is now open."
"News_Pawn","¡Se ha inaugurado la Tienda de Empeño!","Pawn Shop Now Open!"
"News_Pawn_Description","¡Es lo que todos han estado esperando! La Casa de Empeño ya está abierta en la Ciudad.","It's what everybody's been waiting for! The pawn shop is now open on the City."
"News_TV","¡Se ha inaugurado la Torre de Televisión!","News Tower Now Open!"
"News_TV_Description","Bienvenido a la primera edición diaria de 'Double News'. ¡Esta será una función habitual a partir de ahora!","Welcome to the first daily edition of Double News. This will be a regular feature from now on!"
"News_Spoiler","Por descubrir.","To be discovered."
"Level","Nv.","Lv."
"cc_gender","Género","Gender"
"Portery_citizens","Ciudadanos:","Citizens:"
"Portery_ratio","Relación M/F:","M/F Ratio:"
"Portery_city","Nombre de la Ciudad:","City Name:"
"News_Supermarket","¡Se ha inaugurado el Supermercado!","Supermarket Now Open!"
"News_Supermarket_Description","Deliciosos manjares esperan a tus Dobles para disfrutar.","Delicious delicacies await your Doubles to enjoy."
"Trait_PickyEater","Quisquilloso","Picky Eater"
"Trait_PickyEater_Desc","Los Dobles quisquillosos nunca eligen comer en exceso, y hacerlo hace que se enfermen rápidamente.","Picky eaters never choose to eat in excess, and doing so causes them to quickly become ill."
"Trait_Glutton","Glotón","Glutton"
"Trait_Glutton_Desc","Estos Dobles tienen una mayor reacción negativa al Hambre, siempre disfrutan comiendo, sin importar la calidad de la comida.","These Doubles have a greater negative reaction to Hunger, always enjoy eating, no matter the quality of the food."
"Trait_PPincher","Codicioso","Greedy"
"Trait_PPincher_Desc","A los Dobles codiciosos les encanta recortar cupones para ahorrar dinero, disfrutan de las buenas ofertas y odian el despilfarro.","Greedy Doubles love to clip coupons to save money, relish a good deal and hate being wasteful."
"Trait_Materialistic","Materialista","Materialistic"
"Trait_Materialistic_Desc","Estos Dobles pueden admirar y alardear de sus posesiones y se entristecen cuando no han comprado un artículo nuevo por un período de tiempo.","These Doubles can admire and brag about possessions and become sad when they haven't purchased a new item for a period of time."
"Trait_Squeamish","Delicado","Squeamish"
"Trait_Squeamish_Desc","Los Dobles delicados se enferman al ver bichos espeluznantes, vómitos, violencia y muerte. Estos Dobles se sienten incómodos cerca de cualquier cosa sucia.","Squeamish Doubles get sick by the sight of creepy crawlies, vomiting, violence and death. These Doubles become Uncomfortable near anything dirty."
"Trait_Immunity","Inmunidad","Immunity"
"Trait_Immunity_Desc","Tus Dobles tendrán una superinmunidad que evitará que tengan náuseas, se enfermen y tengan alergias.","Your Doubles will have super immunity that prevents them from getting nauseous, sick, and allergies."
"Trait_Good","Bueno","Good"
"Trait_HotHeaded","Exaltado","Hot-Headed"
"Trait_HotHeaded_Desc","Los Dobles exaltados se enojan rápidamente. Las conversaciones que salen mal o incluso el más mínimo estado de ánimo negativo los enviará a una ira hirviente.","Hot-Headed Doubles are quick to anger. Conversations gone awry or even the slightest negative moodlet will all send them into a boiling rage."
"Trait_Outgoing","Extrovertido","Outgoing"
"Trait_Outgoing_Desc","Los Dobles extrovertidos sonríen con frecuencia a los demás y son rápidos para hacer amigos.","Outgoing Doubles smile frequently at others and are quick to make friends."
"Trait_Shy","Tímido","Shy"
"Trait_Shy_Desc","Los Dobles tímidos nunca se acercarán a nadie que no sea un amigo y tenderán a permanecer en sus habitaciones si pueden. También se sienten incómodos alrededor de grandes multitudes de personas.","Shy Doubles will never approach anyone that isn't a friend and tend to stick to their rooms if they are able. They are also uncomfortable around large crowds of people."
"Trait_HopelessRomantic","Romántico","Hopeless Romantic"
"Trait_HopelessRomantic_Desc","Los románticos empedernidos buscan apasionadamente a su alma gemela. Quieren romance, amor verdadero y se rodean de televisión y citas románticas.","Hopeless romantics passionately seek their soul mate. They want romance, true love and surround themselves with cheesy romantic television and dates."
"Trait_Noncommittal","Evasivo","Noncommittal"
"Trait_Noncommittal_Desc","Estos Dobles se vuelven tensos después de un tiempo en la misma relación, se vuelven felices cuando rompen una relación, tardan más en proponerse y pueden hablar sobre su miedo al compromiso.","These Doubles become tense after a while in the same relationship, become Happy when they break off a relationship, take longer to propose, and can discuss their fear of commitment."
"Trait_Flirty","Coqueto","Flirty"
"Trait_Flirty_Desc","Tu Doble puede coquetear con Dobles al principio de una relación. ¡Los coqueteos de tu Doble serán aceptados con mucha más frecuencia!","Your Double can flirt with Doubles early in a relationship. Your Double's flirts will be accepted much more often!"
"Trait_Unflirty","Poco Coqueto","Unflirty"
"Trait_Unflirty_Desc","Los Dobles poco coquetos no aprecian los avances románticos de los demás y serán difíciles de cortejar. No es que no quieran amar, es que les resulta difícil.","Unflirty Doubles do not appreciate the romantic advances of others and will be difficult to woo. It's not that they don't want to love, just that it's difficult for them."
"Trait_Gloomy","Melancólico","Gloomy"
